movieCd,movieNm,openDt
20080301,인디다큐페스티발2008-언니,20080331
20080297,인디다큐페스티발2008-way home,20080330
20080296,인디다큐페스티발2008-뉴코아 이랜드 투쟁 보고서,20080330
20080271,작가를 만나다-양해훈2,20080322
20080082,2월 금요단편극장-2007년을 빛낸 단편영화 상영회,20080222
20090307,국가대표,20090729
20090237,김씨표류기,20090514
20090667,파주,20091028
20090805,돌멩이의 꿈,20091210
20081649,낙타는 말했다,20091113
20090264,"바다 쪽으로, 한 뼘 더",20090521
20090500,황금시대,20090910
20090786,시간의 춤,20091203
20090042,핸드폰,20090219
20080266,"지금, 이대로가 좋아요",20090423
20090077,전우치,20091223
20081656,제불찰씨 이야기,20090312
20090842,로망은 없다,20091210
20090844,여자 없는 세상,20091210
20090843,너와 나의 21세기,20091210
20090841,나는 곤경에 처했다!,20091210
20081616,그녀들의 방,20090312
20081661,어떤 개인 날,20090312
20081648,장례식의 멤버,20090312
20090248,마더,20090528
20081396,사람을 찾습니다,20091217
20090590,청담보살,20091111
20090328,여행자,20091029
20090258,로니를 찾아서,20090604
20090312,토끼와 리저드,20091022
20090076,나는 행복합니다,20091126
20090261,잘 알지도 못하면서,20090514
20090557,호우시절,20091008
20090839,친구사이?,20091217
20090574,헬로우 마이 러브,20091008
20081209,낮술,20090205
20090054,고갈,20090903
20080576,3xFTM,20090604
20080870,마린보이,20090205
20090074,해운대,20090722
20090434,불신지옥,20090812
20090159,약탈자들,20090618
20090023,작전,20090212
20090035,똥파리,20090416
20090510,이태원 살인사건,20090910
20090724,내 눈에 콩깍지,20091105
20090605,굿모닝 프레지던트,20091022
20090305,백야행,20091119
20090311,시크릿,20091203
20090051,차우,20090715
20090308,불꽃처럼 나비처럼,20090924
20090225,인사동 스캔들,20090429
20081737,7급 공무원,20090422
20080747,라라 선샤인,20091022
20081006,시선 1318,20090611
20081727,워낭소리,20090115
20090156,그림자 살인,20090402
20090329,내 사랑 내 곁에,20090924
20081617,푸른 강은 흘러라,20091008
20090292,반두비,20090625
20090188,소명,20090402
20081003,박쥐,20090430
20090297,거북이 달린다,20090611
20090022,키친,20090205
20090336,킹콩을 들다,20090701
20090823,비상,20091203
20090484,애자,20090909
20090389,10억,20090806
20090327,여고괴담 5,20090618
20090146,펜트하우스 코끼리,20091105
20090562,정승필 실종사건,20091008
20090075,"히말라야, 바람이 머무는 곳",20090611
20090822,바람,20091126
20090481,나무없는 산,20090827
20090815,홍길동의 후예,20091126
20090670,하늘과 바다,20091028
20090289,보트,20090528
20090304,요가학원,20090820
20090067,오이시맨,20090219
20080305,할매꽃,20090319
20081750,샘터분식-그들도 우리처럼,20091126
20081731,허수아비들의 땅,20090430
20090318,날아라 펭귄,20090924
20090527,국가대표 완결판-못 다한 이야기,20090910
20090862,여배우들,20091210
20090900,기죽지 마라,20091217
20090875,걸프렌즈,20091217
20080264,감자심포니,20091210
20081747,길,20090514
20090169,실종,20090319
20090556,나는 갈매기,20090926
20090014,유감스러운 도시,20090122
20090801,천국의 우편배달부,20091112
20090802,트라이앵글,20091119
20090800,19-Nineteen,20091112
20090804,결혼식 후에,20091203
20090078,구세주 2,20090226
20090803,낙원-파라다이스,20091126
20080042,도시락,20090806
20080299,살기 위하여,20090416
20081646,나의 마음은 지지 않았다,20090226
20070590,처음 만난 사람들,20090604
20090236,싸이보그 그녀,20090514
20090669,집행자,20091105
20090830,약수터 부르스,20091126
20090784,좋아서 만든 영화,20091217
20090155,귀향,20091105
20090319,오감도,20090709
20120798,순간을 믿어요,20090709
20090684,어떤 방문,20091112
20081615,독,20090820
20090808,보통소년,20090723
20090395,아부지,20090715
20090920,올웨이스 비보이,20091224
20081729,킬 미,20091105
20080398,저녁의 게임,20091029
20090581,부산,20091015
20090582,북극의 눈물,20091015
20081525,지구에서 사는 법,20090924
20090496,핑크 토끼,20090820
20090330,4교시 추리영역,20090812
20090407,죽기 전에 해야할 몇가지 것들,20090709
20080400,물 좀 주소,20090604
20090326,압록강은 흐른다,20090604
20090193,우리 집에 왜 왔니,20090409
20090085,슬픔보다 더 슬픈 이야기,20090311
20090417,SBS 애니메이션 어워드 2009,20090724
20090240,2009한국영화 아카데미영화제RE:WIND,20090211
20100787,옥희의 영화,20100916
20100019,여행,20100520
20081654,"빗자루, 금붕어 되다",20100930
20100034,채식주의자,20100218
20100264,그녀에게,20100513
20100055,뭘 또 그렇게까지,20100429
20100191,시,20100513
20100301,악마를 보았다,20100812
20101028,조금만 더 가까이,20101028
20101110,레인보우,20101118
20090914,하모니,20100128
20100788,마법천자문: 대마왕의 부활을 막아라,20100819
20100061,땅의 여자,20100909
20100206,꿈은 이루어진다,20100527
20100962,"울지마, 톤즈",20100909
20109031,할 수 있는 자가 구하라,20101201
20101115,히어로,20101118
20101200,김종욱 찾기,20101208
20100214,아저씨,20100804
20090034,탈주,20100902
20101040,소와 함께 여행하는 법,20101103
20100286,귀 鬼,20100610
20100027,회복,20100114
20090904,의형제,20100204
20100737,잊혀진 가방,20100729
20090610,경계도시 2,20100318
20100213,부당거래,20101028
20100833,무적자,20100916
20100202,하하하,20100505
20101339,브라보! 재즈 라이프,20101216
20090852,이웃집 좀비,20100218
20101109,두 여자,20101118
20090928,회오리 바람,20100225
20100188,하녀,20100513
20101223,헬로우 고스트,20101222
20100326,고死 두 번째 이야기: 교생실습,20100728
20100305,해결사,20100909
20100075,무법자,20100318
20100363,분홍돌고래,20100701
20101222,황해,20101222
20090874,페어러브,20100114
20090895,주유소 습격사건 2,20100121
20090160,평행이론,20100218
20090927,방자전,20100602
20100209,이끼,20100714
20101004,된장,20101021
20100281,김복남 살인사건의 전말,20100902
20101010,초능력자,20101110
20100302,심야의 F.M.,20101014
20100296,포화속으로,20100616
20100835,방가? 방가!,20100930
20101066,맛있는 인생,20101028
20100210,맨발의 꿈,20100624
20100329,그랑프리,20100916
20100834,시라노; 연애조작단,20100916
20100131,베스트셀러,20100415
20090888,용서는 없다,20100107
20100197,7월 32일,20100422
20101113,이층의 악당,20101124
20100256,내 깡패 같은 애인,20100520
20100198,대한민국 1%,20100505
20100129,반가운 살인자,20100408
20090939,육혈포 강도단,20100318
20090926,식객2 : 김치전쟁,20100128
20100300,죽이고 싶은,20100826
20100988,나를 닮은 얼굴,20100930
20101039,돌이킬 수 없는,20101104
20101221,쩨쩨한 로맨스,20101201
20100353,파괴된 사나이,20100701
20100107,비밀애,20100325
20100001,소규모 아카시아 밴드 이야기,20100114
20100167,사요나라 이츠카,20100415
20100057,참을 수 없는,20101021
20100813,퀴즈왕,20100916
20090317,영도 다리,20100701
20090931,구르믈 버서난 달처럼,20100428
20090785,반드시 크게 들을 것,20100422
20101149,여의도,20101202
20100050,섹스 볼란티어,20100422
20100661,우리 만난 적 있나요,20101125
20100277,내 남자의 순이,20100527
20090331,폭풍전야,20100401
20100053,계몽영화,20100916
20100981,살인의 강,20100930
20100021,경,20100429
20100044,블러디쉐이크,20100527
20101012,페스티발,20101118
20101210,페티쉬,20101125
20100049,도쿄택시,20100520
20100380,마음이2,20100721
20101209,라스트 갓파더,20101229
20090783,춤추는 동물원,20101202
20100158,소명 2-모겐족의 월드컵,20100401
20090947,집 나온 남자들,20100408
20100149,꽃비,20100401
20120740,귀 鬼(부르는 손 편),20100610
20061214,작은 연못,20100415
20090915,사사건건,20100121
20100315,요술,20100624
20100060,불타는 내 마음,20100325
20100030,2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,20100122
20100266,서태지밴드 라이브 투어 <더 뫼비우스>,20100521
20100046,카페 느와르,20101230
20101111,나의 불행에는 이유가 있다,20101125
20101211,용서,20101205
20101029,어쿠스틱,20101028
20100234,원 나잇 스탠드,20100504
20100299,이파네마 소년,20101104
20100160,인디다큐페스티발2010-다큐멘터리 발언대,20100326
20100119,이웃집 남자,20100318
20100928,엄지아빠,20100902
20101208,나는 나비,20101202
20090890,아빠가 여자를 좋아해,20100114
20090892,웨딩드레스,20100114
20090917,주문진,20100121
20100096,행복한 울릉인,20100225
20081660,마녀의 관,20100304
20100141,아마존의 눈물,20100325
20100168,친정엄마,20100422
20100260,마마 앤드 파파,20100520
20090794,나쁜 놈이 더 잘 잔다,20100624
20100769,폐가,20100819
20100824,당신은 아름답다,20100826
20090315,노르웨이의 숲,20100930
20101286,2AM SHOW,20101209
20120742,귀 鬼(네 이름을 말해봐 편),20100610
20120739,귀 鬼(鬼소년 편),20100610
20120737,귀 鬼(내곁에 있어줘 편),20100610
20100250,첫사랑 열전,20100505
20120727,첫사랑 열전(종이학 편),20100505
20120730,첫사랑 열전(설렘 편),20100505
20120732,첫사랑 열전(한번만..다음에.. 편),20100505
20100181,서울,20100422
20100658,불청객,20100930
20100832,여덟 번의 감정,20100930
20101375,하쿠나 마타타 - 지라니 이야기,20101209
20101338,서서 자는 나무,20101209
20100253,초합금 로보트 쏠라 123,20100501
20101282,패밀리마트,20101125
20101035,사랑활동의 내구성,20101104
20101009,불량남녀,20101104
20101048,젓가락,20101028
20101007,나탈리,20101028
20101002,할,20101014
20101018,희망의 별 - 이퀘지레템바,20101007
20100995,라이브 인 3D 휘성 : 잇츠 리얼,20100930
20100822,미스터좀비,20100826
20100800,인플루언스,20100819
20100351,"60년전, 사선에서",20100624
20100251,시티 오브 크레인,20100506
20100201,샤인 어 라이트(1st 지드래곤 콘서트),20100415
20101393,독립애니메이션-가족스페셜,20101214
20101260,[SIFF2010] 국내세미나 - 독립영화 제작의 현황과 대안,20101209
20101266,한-중앙아 영상사업-경계없이+한국을 바라보는 또 다른 시선,20101126
20100727,"7월 영화 희망 나눔, 영화인 캠페인",20100726
20119507,"사랑한다, 사랑하지 않는다",20110303
19820019,만추,20110217
20110279,마당을 나온 암탉,20110728
20112762,티끌모아 로맨스,20111110
20112934,완벽한 파트너,20111117
20113805,완벽한 파트너-감독판,20111201
20124418,"금지된 섹스, 불륜",20110922
20111399,흉터,20111013
20101240,보라,20111124
20090654,"굿바이, 평양",20110303
20100222,엄마는 창녀다,20110331
20111250,써니 감독판,20110728
20101346,집,20110317
20101233,평범한 날들,20110929
20110254,북촌방향,20110908
20111928,너는 펫,20111110
20101344,파수꾼,20110303
20110251,풍산개,20110623
20101345,간증,20110317
20101343,짐승의 끝,20110317
20101392,소중한 날의 꿈,20110623
20119529,적과의 동침,20110427
20110297,블라인드,20110810
20110183,"미안해, 고마워",20110526
20119618,위험한 상견례,20110331
20119989,나는 아빠다,20110414
20119619,체포왕,20110504
20119628,마마,20110601
20110609,기생령,20110805
