movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
292678,"모두들, 괜찮아요?","모두들, 괜찮아요?",2006-03-24,800000,0,6.0,104,2006.0,3.0,1363899,Sun-ho Nam,69699|126741|566367|1490176|1194671,김유석|김호정|이순재|Lee Seung-chae|전혜진
292818,러브 토크,러브 토크,2005-11-11,0,0,5.4,118,2005.0,11.0,84722,이윤기,1094648|98131|93999|1108918|1330450,배종옥|박진희|박희순|최반야|김중기
293146,설계,설계,2014-09-18,0,0,4.0,96,2014.0,9.0,1367579,Park Chang-Jin,69289|1075003|125734|1368061|1368062,신은경|오인혜|이기영|강지섭|최용민
293413,내부자들,내부자들,2015-11-19,0,62000000,7.0,130,2015.0,11.0,1292897,우민호,25002|126495|229752|231476|1287909,이병헌|조승우|백윤식|이경영|김홍파
293429,친애하는 지도자동지께,친애하는 지도자동지께,2015-12-31,0,0,4.5,102,2015.0,12.0,570549,Lee Sang-woo,1365070|1365069|1365068|1365067|2500989,Kim Young-gune|Shin Won-ho|Seo Hyun-seok|Lee Joo-min|Lee Tae-rim
293670,곡성,곡성,2016-05-12,10951000,49851770,7.376,156,2016.0,5.0,75915,나홍진,1155298|68903|1263930|2541|1681260,곽도원|황정민|천우희|國村隼|김환희
293749,관계,관계,2014-08-27,0,0,3.5,91,2014.0,8.0,1365669,Kim Myeong-seo,227441|1365670|1365671|1388365|2619568,김경익|Jin Hye-Kyung|友田彩也香|허성태|Yoo Sun-young
294811,터널 3D,터널 3D,2014-08-20,0,0,5.1,86,2014.0,8.0,1367325,Park Gyu-Taek,1029185|1349146|1346848|42799|1419854,정유미|송재림|연우진|손병호|이시원
295010,마이 캡틴 김대출,마이 캡틴 김대출,2006-04-20,0,0,5.8,104,2006.0,4.0,1367688,Song Chang-soo,83682|582555|939137|127850|548649,정재영|장서희|남지현|이도경|홍석연
295541,조류인간,조류인간,2014-09-28,0,0,5.6,112,2014.0,9.0,125074,신연식,1334230|1334564|1985580|1985557|1607572,김정팔|김소이|정한비|이유미|Seong Hong-il
